# The Comparative Toxicogenomics Database (CTD) - http://ctdbase.org/
#   Copyright 2002-2012 MDI Biological Laboratory. All rights reserved.
#   Copyright 2012-2025 NC State University. All rights reserved.
#  
# 
# Use is subject to the terms set forth at http://ctdbase.org/about/legal.jsp
# These terms include:
# 
#   1. All forms of publication (e.g., web sites, research papers, databases,
#      software applications, etc.) that use or rely on CTD data must cite CTD.
#      Citation guidelines: http://ctdbase.org/about/publications/#citing
# 
#   2. All electronic or online applications must include hyperlinks from 
#      contexts that use CTD data to the applicable CTD data pages.
#      Linking instructions: http://ctdbase.org/help/linking.jsp
# 
#   3. You must notify CTD, and describe your use of our data:
#      http://ctdbase.org/help/contact.go
# 
#   4. For quality control purposes, you must provide CTD with periodic 
#      access to your publication of our data.
# 
# More information: http://ctdbase.org/downloads/
# 
# Report created: Thu May 29 11:28:15 EDT 2025
#
# Fields:
# ChemicalName	ChemicalID	CasRN	DiseaseName	DiseaseID	DirectEvidence	InferenceGeneSymbol	InferenceScore	OmimIDs	PubMedIDs
#
06-Paris-LA-66 protocol	C046983		Precursor Cell Lymphoblastic Leukemia-Lymphoma	MESH:D054198	therapeutic				4519131
10074-G5	C534883		Adenocarcinoma	MESH:D000230		MYC	4.08		26432044
10074-G5	C534883		Adenocarcinoma of Lung	MESH:D000077192		MYC	4.31		26656844|27602772
10074-G5	C534883		Alopecia	MESH:D000505		AR	4.52		15902657
10074-G5	C534883		Androgen-Insensitivity Syndrome	MESH:D013734		AR	6.89	300068|312300	1303262|8281139
10074-G5	C534883		Astrocytoma	MESH:D001254		AR	4.96		24680642
10074-G5	C534883		Autistic Disorder	MESH:D001321		AR	3.95		19167832
10074-G5	C534883		Breast Neoplasms	MESH:D001943		AR	3.44		21633166|22174584
10074-G5	C534883		Breast Neoplasms, Male	MESH:D018567		AR	5.91		1303262|8281139
10074-G5	C534883		Bulbospinal neuronopathy, X-linked recessive	MESH:C537017		AR	6.89	313200	
10074-G5	C534883		Burkitt Lymphoma	MESH:D002051		MYC	5.13	113970	
10074-G5	C534883		Carcinoma	MESH:D002277		MYC	4.10		2228319
10074-G5	C534883		Carcinoma, Ductal	MESH:D044584		MYC	5.60		29295717
10074-G5	C534883		Carcinoma, Hepatocellular	MESH:D006528		AR	7.52		18639551
