,neighborhood,neighborhood_transferred,fusion,cooccurence,homology,coexpression,coexpression_transferred,experiments,experiments_transferred,database,database_transferred,textmining,textmining_transferred,combined_score
neighborhood,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
neighborhood_transferred,0.0000,1.0000,0.0062,-0.0243,-0.0267,-0.0324,0.1723,0.0194,0.0218,-0.0038,0.1311,-0.0650,0.1345,0.1177
fusion,0.0000,0.0062,1.0000,0.0069,-0.0022,-0.0004,0.0010,-0.0006,-0.0037,0.0047,0.0132,0.0012,0.0011,0.0238
cooccurence,0.0000,-0.0243,0.0069,1.0000,0.1774,-0.0331,-0.0651,-0.0045,-0.0691,-0.0029,-0.0052,-0.0707,-0.1216,0.0235
homology,0.0000,-0.0267,-0.0022,0.1774,1.0000,0.1553,-0.0356,0.0040,-0.0335,0.0723,-0.0093,-0.0259,-0.0703,0.0092
coexpression,0.0000,-0.0324,-0.0004,-0.0331,0.1553,1.0000,0.0052,0.0544,-0.1472,-0.0028,-0.0148,-0.0174,-0.1359,0.0092
coexpression_transferred,0.0000,0.1723,0.0010,-0.0651,-0.0356,0.0052,1.0000,0.1360,0.3159,0.0250,0.0615,-0.1397,0.0243,0.4114
experiments,0.0000,0.0194,-0.0006,-0.0045,0.0040,0.0544,0.1360,1.0000,0.1067,0.0790,-0.0013,0.0693,0.0281,0.1599
experiments_transferred,0.0000,0.0218,-0.0037,-0.0691,-0.0335,-0.1472,0.3159,0.1067,1.0000,0.1310,0.0348,-0.1524,0.0375,0.4673
database,0.0000,-0.0038,0.0047,-0.0029,0.0723,-0.0028,0.0250,0.0790,0.1310,1.0000,0.0672,0.0846,0.0771,0.5177
database_transferred,0.0000,0.1311,0.0132,-0.0052,-0.0093,-0.0148,0.0615,-0.0013,0.0348,0.0672,1.0000,-0.0193,0.0492,0.1192
textmining,0.0000,-0.0650,0.0012,-0.0707,-0.0259,-0.0174,-0.1397,0.0693,-0.1524,0.0846,-0.0193,1.0000,0.0036,0.4050
textmining_transferred,0.0000,0.1345,0.0011,-0.1216,-0.0703,-0.1359,0.0243,0.0281,0.0375,0.0771,0.0492,0.0036,1.0000,0.3417
combined_score,0.0000,0.1177,0.0238,0.0235,0.0092,0.0092,0.4114,0.1599,0.4673,0.5177,0.1192,0.4050,0.3417,1.0000
