,neighborhood,neighborhood_transferred,fusion,cooccurence,homology,coexpression,coexpression_transferred,experiments,experiments_transferred,database,database_transferred,textmining,textmining_transferred,combined_score
neighborhood,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
neighborhood_transferred,0.0000,1.0000,0.0070,-0.0209,-0.0263,-0.0140,0.1872,0.0160,0.0192,-0.0076,0.0000,-0.0866,0.1740,0.0717
fusion,0.0000,0.0070,1.0000,0.0015,-0.0044,-0.0018,0.0001,0.0104,-0.0067,0.0017,0.0000,-0.0083,-0.0043,0.0462
cooccurence,0.0000,-0.0209,0.0015,1.0000,0.3348,-0.0254,-0.0454,-0.0001,-0.0447,0.0135,0.0000,-0.0698,-0.0949,0.0265
homology,0.0000,-0.0263,-0.0044,0.3348,1.0000,0.0511,-0.0275,0.0302,-0.0150,0.1024,0.0000,-0.0092,-0.0636,0.0562
coexpression,0.0000,-0.0140,-0.0018,-0.0254,0.0511,1.0000,0.1911,0.1256,-0.0334,0.0112,0.0000,-0.0560,-0.1097,0.1657
coexpression_transferred,0.0000,0.1872,0.0001,-0.0454,-0.0275,0.1911,1.0000,0.1486,0.2389,0.0139,0.0000,-0.1342,0.0641,0.2727
experiments,0.0000,0.0160,0.0104,-0.0001,0.0302,0.1256,0.1486,1.0000,0.1831,0.1427,0.0000,0.0927,0.0491,0.2380
experiments_transferred,0.0000,0.0192,-0.0067,-0.0447,-0.0150,-0.0334,0.2389,0.1831,1.0000,0.1433,0.0000,-0.0969,0.0899,0.3858
database,0.0000,-0.0076,0.0017,0.0135,0.1024,0.0112,0.0139,0.1427,0.1433,1.0000,0.0000,0.1238,0.0372,0.5627
database_transferred,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
textmining,0.0000,-0.0866,-0.0083,-0.0698,-0.0092,-0.0560,-0.1342,0.0927,-0.0969,0.1238,0.0000,1.0000,-0.0241,0.5253
textmining_transferred,0.0000,0.1740,-0.0043,-0.0949,-0.0636,-0.1097,0.0641,0.0491,0.0899,0.0372,0.0000,-0.0241,1.0000,0.2676
combined_score,0.0000,0.0717,0.0462,0.0265,0.0562,0.1657,0.2727,0.2380,0.3858,0.5627,0.0000,0.5253,0.2676,1.0000
