channel,nonzero_pct,max,mean,median,p90,p99
neighborhood,0.0000,0,0.0000,0,0,0
neighborhood_transferred,4.1656,357,2.6147,0,0,69
fusion,0.4429,900,0.4604,0,0,0
cooccurence,1.5777,537,2.8778,0,0,146
homology,1.7663,988,12.2979,0,0,625
coexpression,52.0421,999,45.4775,42,115,291
coexpression_transferred,41.5928,964,40.0921,0,105,307
experiments,8.2876,999,23.9741,0,0,510
experiments_transferred,37.1883,967,44.3240,0,126,413
database,3.2458,900,18.8679,0,0,650
database_transferred,2.4233,846,4.0045,0,0,155
textmining,59.6711,999,119.1161,91,293,704
textmining_transferred,67.9269,353,69.9520,63,160,348
combined_score,100.0000,999,268.6240,209,458,936
